"ATC4","ATC4_NAME"
"J01CR","Combinations of penicillins, incl. beta-lactamase inhibitors"
"J01CG","Beta-lactamase inhibitors"
"J01CA","Penicillins with extended spectrum"
"N05AE","Indole derivatives"
"J01CE","Beta-lactamase sensitive penicillins"
"C02CA","Alpha-adrenoreceptor antagonists"
"J02AC","Triazole derivatives"
"D01AC","Imidazole and triazole derivatives"
"H01CC","Anti-gonadotropin-releasing hormones"
"G03GA","Gonadotropins"
"M03AC","Other quaternary ammonium compounds"
"H01BA","Vasopressin and analogues"
"B02AB","Proteinase inhibitors"
"C01BC","Antiarrhythmics, class Ic"
"P01BC","Methanolquinolines"
"J01FA","Macrolides"
"R03BB","Anticholinergics"
"C01AA","Digitalis glycosides"
"N05AX","Other antipsychotics"
"A04AA","Serotonin (5HT3) antagonists"
"V03AE","Drugs for treatment of hyperkalemia and hyperphosphatemia"
"N06DA","Anticholinesterases"
"N03AF","Carboxamide derivatives"
"C08CA","Dihydropyridine derivatives"
"N02AE","Oripavine derivatives"
"N07BC","Drugs used in opioid dependence"
"A06AH","Peripheral opioid receptor antagonists"
"N06AA","Non-selective monoamine reuptake inhibitors"
"M01AC","Oxicams"
"A03AE","Serotonin receptor antagonists"
"N07AX","Other parasympathomimetics"
"H05BX","Other anti-parathyroid agents"
"C04AX","Other peripheral vasodilators"
"N07BB","Drugs used in alcohol dependence"
"P03AA","Sulfur containing products"
"L01AA","Nitrogen mustard analogues"
"C03CC","Aryloxyacetic acid derivatives"
"J05AG","Non-nucleoside reverse transcriptase inhibitors"
"C01BB","Antiarrhythmics, class Ib"
"N01BB","Amides"
"R02AD","Anesthetics, local"
"S01HA","Local anesthetics"
"S02DA","Analgesics and anesthetics"
"A01AD","Other agents for local oral treatment"
"N02BA","Salicylic acid and derivatives"
"N02AF","Morphinan derivatives"
"A02AC","Calcium compounds"
"A12AA","Calcium"
"A02AA","Magnesium compounds"
"L04AX","Other immunosuppressants"
"A03AB","Synthetic anticholinergics, quaternary ammonium compounds"
"B01AA","Vitamin K antagonists"
"D08AX","Other antiseptics and disinfectants"
"V03AZ","Nerve depressants"
"N07AB","Choline esters"
"D08AG","Iodine products"
"D11AC","Medicated shampoos"
"G01AX","Other antiinfectives and antiseptics"
"S01AX","Other antiinfectives"
"S01KA","Viscoelastic substances"
"D01AA","Antibiotics"
"N01BA","Esters of aminobenzoic acid"
"G04BA","Acidifiers"
"A12CC","Magnesium"
"A06AB","Contact laxatives"
"A07AC","Imidazole derivatives"
"J02AB","Imidazole derivatives"
"N06BC","Xanthine derivatives"
"D01BA","Antifungals for systemic use"
"A02AB","Aluminium compounds"
"J04AM","Combinations of drugs for treatment of tuberculosis"
"J04AC","Hydrazides"
"N01AX","Other general anesthetics"
"B01AB","Heparin group"
"C05BA","Heparins or heparinoids for topical use"
"A16AB","Enzymes"
"N05AD","Butyrophenone derivatives"
"A02BA","H2-receptor antagonists"
"R05DB","Other cough suppressants"
"C10BX","HMG CoA reductase inhibitors, other combinations"
"J01XA","Glycopeptide antibacterials"
"N05BB","Diphenylmethane derivatives"
"N03AB","Hydantoin derivatives"
"N03AD","Succinimide derivatives"
"N06AF","Monoamine oxidase inhibitors, non-selective"
"C01DA","Organic nitrates"
"C05AE","Muscle relaxants"
"C10AB","Fibrates"
"N03AG","Fatty acid derivatives"
"C10BA","HMG CoA reductase inhibitors in combination with other lipid modifying agents"
"C04AC","Nicotinic acid and derivatives"
"C10AD","Nicotinic acid and derivatives"
"C09BB","ACE inhibitors and calcium channel blockers"
"H03AA","Thyroid hormones"
"N03AC","Oxazolidine derivatives"
"N01AB","Halogenated hydrocarbons"
"N07XX","Other nervous system drugs"
"H01CB","Somatostatin and analogues"
"N04BX","Other dopaminergic agents"
"A10BX","Other blood glucose lowering drugs, excl. insulins"
"V03AC","Iron chelating agents"
"C09XA","Renin-inhibitors"
"C09DB","Angiotensin II antagonists and calcium channel blockers"
"C09DX","Angiotensin II antagonists, other combinations"
"P01BE","Artemisinin and derivatives, plain"
"P01BF","Artemisinin and derivatives, combinations"
"R03AC","Selective beta-2-adrenoreceptor agonists"
"D07XC","Corticosteroids, potent, other combinations"
"R03CC","Selective beta-2-adrenoreceptor agonists"
"L01AX","Other alkylating agents"
"R03AK","Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
"J04AK","Other drugs for treatment of tuberculosis"
"L02BB","Anti-androgens"
"C05BB","Sclerosing agents for local injection"
"D08AE","Phenol and derivatives"
"N01BX","Other local anesthetics"
"G03GB","Ovulation stimulants, synthetic"
"N02AJ","Opioids in combination with non-opioid analgesics"
"N05BE","Azaspirodecanedione derivatives"
"N02AX","Other opioids"
"C08DB","Benzothiazepine derivatives"
"R02AX","Other throat preparations"
"L02BA","Anti-estrogens"
"M01AX","Other antiinflammatory and antirheumatic agents, non-steroids"
"J01DC","Second-generation cephalosporins"
"D05BB","Retinoids for treatment of psoriasis"
"A10BG","Thiazolidinediones"
"A03FA","Propulsives"
"A02BX","Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)"
"J01DB","First-generation cephalosporins"
"C02AB","Methyldopa"
"N04BD","Monoamine oxidase B inhibitors"
"J01CF","Beta-lactamase resistant penicillins"
"J01DD","Third-generation cephalosporins"
"C01EB","Other cardiac preparations"
"C04AD","Purine derivatives"
"G02CB","Prolactine inhibitors"
"C02AC","Imidazoline receptor agonists"
"D10AD","Retinoids for topical use in acne"
"N01AH","Opioid anesthetics"
"D08AL","Silver compounds"
"N05AB","Phenothiazines with piperazine structure"
"V06DC","Carbohydrates"
"B05CX","Other irrigating solutions"
"V04CA","Tests for diabetes"
"C02DC","Pyrimidine derivatives"
"A16AX","Various alimentary tract and metabolism products"
"N07AA","Anticholinesterases"
"G03EK","Androgens and female sex hormones in combination with other drugs"
"J01XE","Nitrofuran derivatives"
"B02BC","Local hemostatics"
"R03AA","Alpha- and beta-adrenoreceptor agonists"
"J05AC","Cyclic amines"
"M03BC","Ethers, chemically close to antihistamines"
"N03AA","Barbiturates and derivatives"
"M03CA","Dantrolene and derivatives"
"H02AA","Mineralocorticoids"
"D08AC","Biguanides and amidines"
"R06AD","Phenothiazine derivatives"
"A09AB","Acid preparations"
"N04BB","Adamantane derivatives"
"N04AA","Tertiary amines"
"R03DA","Xanthines"
"J01EC","Intermediate-acting sulfonamides"
"J01EE","Combinations of sulfonamides and trimethoprim, incl. derivatives"
"A02AD","Combinations and complexes of aluminium, calcium and magnesium compounds"
"A03AA","Synthetic anticholinergics, esters with tertiary amino group"
"H03BA","Thiouracils"
"N02CA","Ergot alkaloids"
"M04AC","Preparations with no effect on uric acid metabolism"
"R03CA","Alpha- and beta-adrenoreceptor agonists"
"M04AA","Preparations inhibiting uric acid production"
"C04AB","Imidazoline derivatives"
"L01AC","Ethylene imines"
"C01CE","Phosphodiesterase inhibitors"
"N02CX","Other antimigraine preparations"
"N04AC","Ethers of tropine or tropine derivatives"
"H01BB","Oxytocin and analogues"
"P03AX","Other ectoparasiticides, incl. scabicides"
"D07AD","Corticosteroids, very potent (group IV)"
"G01AG","Triazole derivatives"
"A03BB","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
"M03BX","Other centrally acting agents"
"P01AX","Other agents against amoebiasis and other protozoal diseases"
"P01BB","Biguanides"
"R03DX","Other systemic drugs for obstructive airway diseases"
"D10AB","Preparations containing sulfur"
"A11DA","Vitamin B1, plain"
"C03BA","Sulfonamides, plain"
"P01BD","Diaminopyrimidines"
"G02AB","Ergot alkaloids"
"B02BA","Vitamin K"
"H03BB","Sulfur-containing imidazole derivatives"
"A08AA","Centrally acting antiobesity products"
"D05AD","Psoralens for topical use"
"D05BA","Psoralens for systemic use"
"N05CA","Barbiturates, plain"
"C02DD","Nitroferricyanide derivatives"
"R03AB","Non-selective beta-adrenoreceptor agonists"
"R03CB","Non-selective beta-adrenoreceptor agonists"
"H05BA","Calcitonin preparations"
"A14AA","Androstan derivatives"
"B05BC","Solutions producing osmotic diuresis"
"D02AE","Carbamide products"
"B05XB","Amino acids"
"B05AA","Blood substitutes and plasma protein fractions"
"V04CC","Tests for bile duct patency"
"R05CB","Mucolytics"
"J01DE","Fourth-generation cephalosporins"
"R06AC","Substituted ethylene diamines"
"M04AB","Preparations increasing uric acid excretion"
"A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors"
"D08AH","Quinoline derivatives"
"G01AC","Quinoline derivatives"
"P01AA","Hydroxyquinoline derivatives"
"P02CC","Tetrahydropyrimidine derivatives"
"P03AC","Pyrethrines, incl. synthetic compounds"
"A07BC","Other intestinal adsorbents"
"N05AC","Phenothiazines with piperidine structure"
"N05AF","Thioxanthene derivatives"
"N06DX","Other anti-dementia drugs"
"D10BA","Retinoids for treatment of acne"
"A16AA","Amino acids and derivatives"
"M02AB","Capsaicin and similar agents"
"A07BA","Charcoal preparations"
"N02AD","Benzomorphan derivatives"
"M03AB","Choline derivatives"
"D06AA","Tetracycline and derivatives"
"J01DI","Other cephalosporins and penems"
"A14AB","Estren derivatives"
"C02DB","Hydrazinophthalazine derivatives"
"L01AB","Alkyl sulfonates"
"B03AB","Iron trivalent, oral preparations"
"A03AD","Papaverine and derivatives"
"A12CB","Zinc"
"G03XA","Antigonadotropins and similar agents"
"N01BC","Esters of benzoic acid"
"B06AA","Enzymes"
"C02DA","Thiazide derivatives"
"V03AH","Drugs for treatment of hypoglycemia"
"M03BB","Oxazol, thiazine, and triazine derivatives"
"N05BC","Carbamates"
"A11CA","Vitamin A, plain"
"N05AA","Phenothiazines with aliphatic side-chain"
"R07AB","Respiratory stimulants"
"L01DC","Other cytotoxic antibiotics"
"L01AD","Nitrosoureas"
"C02BB","Secondary and tertiary amines"
"B01AD","Enzymes"
"V03AN","Medical gases"
"D05AC","Antracen derivatives"
"J07AF","Diphtheria vaccines"
"J07AM","Tetanus vaccines"
"D02BB","Protectives against UV-radiation for systemic use"
"D03AX","Other cicatrizants"
"N02BG","Other analgesics and antipyretics"
"N05CH","Melatonin receptor agonists"
"C02KB","Tyrosine hydroxylase inhibitors"
"J01GA","Streptomycins"
"J02AA","Antibiotics"
"N01AF","Barbiturates, plain"
"B06AC","Drugs used in hereditary angioedema"
"M01AG","Fenamates"
"C04AA","2-amino-1-phenylethanol derivatives"
"B01AX","Other antithrombotic agents"
"N05AG","Diphenylbutylpiperidine derivatives"
"J04AA","Aminosalicylic acid and derivatives"
"G03XB","Progesterone receptor modulators"
"C02KX","Antihypertensives for pulmonary arterial hypertension"
"P02BA","Quinoline derivatives and related substances"
"P02CA","Benzimidazole derivatives"
"D03BA","Proteolytic enzymes"
"R07AX","Other respiratory system products"
"N05CC","Aldehydes and derivatives"
"A03AX","Other drugs for functional gastrointestinal disorders"
"C04AE","Ergot alkaloids"
"M04AX","Other antigout preparations"
"L01XB","Methylhydrazines"
"M01CB","Gold preparations"
"A02BD","Combinations for eradication of Helicobacter pylori"
"L01DA","Actinomycines"
"M05BX","Other drugs affecting bone structure and mineralization"
"L02BX","Other hormone antagonists and related agents"
"G02CX","Other gynecologicals"
"C03XA","Vasopressin antagonists"
"L01CX","Other plant alkaloids and natural products"
"P03AB","Chlorine containing products"
"M09AX","Other drugs for disorders of the musculo-skeletal system"
"J01FG","Streptogramins"
"B02BB","Fibrinogen"
"H01AA","ACTH"
"J01BA","Amphenicols"
"L03AC","Interleukins"
"C01DX","Other vasodilators used in cardiac diseases"
"M09AB","Enzymes"
"M02AX","Other topical products for joint and muscular pain"
"V10XX","Various therapeutic radiopharmaceuticals"
"L01XD","Sensitizers used in photodynamic/radiation therapy"
"S01EX","Other antiglaucoma preparations"
"J05AD","Phosphonic acid derivatives"
"V04CD","Tests for pituitary function"
