"ndc","rxcui","in_rxcui","has_min","in_tty","in_name","in_synonym","in_umlscui","atc5","ddd","u","adm_r","whocc_note"
"00002323130",725064,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323133",725064,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323133",725064,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002323133",725064,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323230",725076,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323230",725076,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002323230",725076,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323233",725076,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323233",725076,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002323233",725076,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323330",725072,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323330",725072,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002323330",725072,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323333",725072,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323333",725072,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002323333",725072,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323430",725068,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323430",725068,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002323430",725068,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323433",725068,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323433",725068,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002323433",725068,611247,TRUE,"MIN","Fluoxetine / olanzapine",NA,"C1608551",NA,NA,NA,NA,NA
"00002323560",596928,72625,FALSE,"IN","duloxetine",NA,"C0245561","N06AX21",60,"mg","O",NA
"00002323704",615186,72625,FALSE,"IN","duloxetine",NA,"C0245561","N06AX21",60,"mg","O",NA
"00002323730",615186,72625,FALSE,"IN","duloxetine",NA,"C0245561","N06AX21",60,"mg","O",NA
"00002323733",615186,72625,FALSE,"IN","duloxetine",NA,"C0245561","N06AX21",60,"mg","O",NA
"00002323830",352318,38400,FALSE,"IN","atomoxetine",NA,"C0076823","N06BA09",80,"mg","O",NA
"00002323930",352321,38400,FALSE,"IN","atomoxetine",NA,"C0076823","N06BA09",80,"mg","O",NA
"00002324030",596932,72625,FALSE,"IN","duloxetine",NA,"C0245561","N06AX21",60,"mg","O",NA
"00002324033",596932,72625,FALSE,"IN","duloxetine",NA,"C0245561","N06AX21",60,"mg","O",NA
"00002325130",617945,38400,FALSE,"IN","atomoxetine",NA,"C0076823","N06BA09",80,"mg","O",NA
"00002400602",313990,4493,FALSE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002400630",313990,4493,FALSE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002411204",212405,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411230",212405,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411233",212405,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411260",212405,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411504",153046,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411530",153046,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411533",153046,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411560",153046,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411604",153047,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411630",153047,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411633",153047,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411660",153047,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411704",153048,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411730",153048,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411733",153048,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002411760",153048,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002416502",1490067,72143,FALSE,"IN","Raloxifene",NA,"C0244404","G03XC01",60,"mg","O",NA
"00002416507",1490067,72143,FALSE,"IN","Raloxifene",NA,"C0244404","G03XC01",60,"mg","O",NA
"00002416530",1490067,72143,FALSE,"IN","Raloxifene",NA,"C0244404","G03XC01",60,"mg","O",NA
"00002441504",261337,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002441530",261337,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002441533",261337,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002441560",261337,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002442004",284514,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002442030",284514,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002442033",284514,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002442060",284514,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445301",754506,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445385",754506,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445401",754503,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445485",754503,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445501",754504,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445585",754504,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445601",754505,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002445685",754505,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002446230",404711,358263,FALSE,"IN","tadalafil",NA,"C1176316","G04BE08",10,"mg","O",NA
"00002446330",402096,358263,FALSE,"IN","tadalafil",NA,"C1176316","G04BE08",10,"mg","O",NA
"00002446430",402097,358263,FALSE,"IN","tadalafil",NA,"C1176316","G04BE08",10,"mg","O",NA
"00002510516",209262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002723101",1659292,2191,FALSE,"IN","Ceftazidime",NA,"C0007559","J01DD02",4,"g","P",NA
"00002733501",207834,61148,FALSE,"IN","Somatropin",NA,"C0169964","H01AC01",2,"U","P",NA
"00002733516",207834,61148,FALSE,"IN","Somatropin",NA,"C0169964","H01AC01",2,"U","P",NA
"00002735501",208812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002750101",1719013,12574,FALSE,"IN","gemcitabine",NA,"C0045093","L01BC05",NA,NA,NA,NA
"00002750201",1719015,12574,FALSE,"IN","gemcitabine",NA,"C0045093","L01BC05",NA,NA,NA,NA
"00002751001",865098,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002751001",865098,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002751001",865098,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002751101",752388,314684,TRUE,"IN","Insulin, Protamine Lispro, Human",NA,"C0982221",NA,NA,NA,NA,NA
"00002751101",752388,86009,TRUE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002751101",752388,86009,TRUE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002751101",752388,86009,TRUE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002751101",752388,816726,TRUE,"MIN","Insulin Lispro / Insulin, Protamine Lispro, Human",NA,"C2047218",NA,NA,NA,NA,NA
"00002751501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002751559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002751559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002751559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002751559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002751559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002751559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002751659",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002751659",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002751659",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002759701",545353,61381,FALSE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
"00002762301",1728075,68446,FALSE,"IN","pemetrexed",NA,"C0210657","L01BA04",NA,NA,NA,NA
"00002800901",310497,4832,FALSE,"IN","Glucagon",NA,"C0017687","H04AA01",1,"mg","P",NA
"00002803101",310497,4832,FALSE,"IN","Glucagon",NA,"C0017687","H04AA01",1,"mg","P",NA
"00002808501",310497,4832,FALSE,"IN","Glucagon",NA,"C0017687","H04AA01",1,"mg","P",NA
"00002808901",729234,61148,FALSE,"IN","Somatropin",NA,"C0169964","H01AC01",2,"U","P",NA
"00002809001",582971,61148,FALSE,"IN","Somatropin",NA,"C0169964","H01AC01",2,"U","P",NA
"00002814701",729234,61148,FALSE,"IN","Somatropin",NA,"C0169964","H01AC01",2,"U","P",NA
"00002814801",582971,61148,FALSE,"IN","Somatropin",NA,"C0169964","H01AC01",2,"U","P",NA
"00002821001",351858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002821101",311057,221109,FALSE,"IN","Insulin, Regular, Pork",NA,"C0724601",NA,NA,NA,NA,NA
"00002821501",311036,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AB01",40,"U","P",NA
"00002821501",311036,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AC01",40,"U","P",NA
"00002821501",311036,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AD01",40,"U","P",NA
"00002821501",311036,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AE01",40,"U","P",NA
"00002821501",311036,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AF01",15,"mg","Inhal.powder",NA
"00002831101",311052,1605101,FALSE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002831501",311026,1605101,FALSE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002841501",311019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002850101",351859,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AB01",40,"U","P",NA
"00002850101",351859,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AC01",40,"U","P",NA
"00002850101",351859,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AD01",40,"U","P",NA
"00002850101",351859,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AE01",40,"U","P",NA
"00002850101",351859,253182,FALSE,"IN","Regular Insulin, Human",NA,"C0795635","A10AF01",15,"mg","Inhal.powder",NA
"00002861501",314045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002871501",106892,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AB01",40,"U","P",NA
"00002871501",106892,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AC01",40,"U","P",NA
"00002871501",106892,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AD01",40,"U","P",NA
"00002871501",106892,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AE01",40,"U","P",NA
"00002871501",106892,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AF01",15,"mg","Inhal.powder",NA
"00002871501",106892,1605101,TRUE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002871501",106892,1008501,TRUE,"MIN","insulin, isophane / Regular Insulin, Human",NA,"C2929405",NA,NA,NA,NA,NA
"00002872501",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002872501",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002872501",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002872559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002872559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002872559",1652646,86009,FALSE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002873001",847199,1605101,FALSE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002873059",847199,1605101,FALSE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002877001",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AB01",40,"U","P",NA
"00002877001",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AC01",40,"U","P",NA
"00002877001",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AD01",40,"U","P",NA
"00002877001",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AE01",40,"U","P",NA
"00002877001",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AF01",15,"mg","Inhal.powder",NA
"00002877001",847189,1605101,TRUE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002877001",847189,1008501,TRUE,"MIN","insulin, isophane / Regular Insulin, Human",NA,"C2929405",NA,NA,NA,NA,NA
"00002877059",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AB01",40,"U","P",NA
"00002877059",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AC01",40,"U","P",NA
"00002877059",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AD01",40,"U","P",NA
"00002877059",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AE01",40,"U","P",NA
"00002877059",847189,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AF01",15,"mg","Inhal.powder",NA
"00002877059",847189,1605101,TRUE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002877059",847189,1008501,TRUE,"MIN","insulin, isophane / Regular Insulin, Human",NA,"C2929405",NA,NA,NA,NA,NA
"00002879459",847254,314684,TRUE,"IN","Insulin, Protamine Lispro, Human",NA,"C0982221",NA,NA,NA,NA,NA
"00002879459",847254,86009,TRUE,"IN","Insulin Lispro",NA,"C0293359","A10AB04",40,"U","P",NA
"00002879459",847254,86009,TRUE,"IN","Insulin Lispro",NA,"C0293359","A10AC04",40,"U","P",NA
"00002879459",847254,86009,TRUE,"IN","Insulin Lispro",NA,"C0293359","A10AD04",40,"U","P",NA
"00002879459",847254,816726,TRUE,"MIN","Insulin Lispro / Insulin, Protamine Lispro, Human",NA,"C2047218",NA,NA,NA,NA,NA
"00002897101",1435117,32915,FALSE,"IN","Teriparatide",NA,"C0070093","H05AA02",20,"mcg","P",NA
"00002951501",245265,1605101,TRUE,"IN","insulin, isophane","insulin, isophane (NPH)","C0021658",NA,NA,NA,NA,NA
"00002951501",245265,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AB01",40,"U","P",NA
"00002951501",245265,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AC01",40,"U","P",NA
"00002951501",245265,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AD01",40,"U","P",NA
"00002951501",245265,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AE01",40,"U","P",NA
"00002951501",245265,253182,TRUE,"IN","Regular Insulin, Human",NA,"C0795635","A10AF01",15,"mg","Inhal.powder",NA
"00002951501",245265,1008501,TRUE,"MIN","insulin, isophane / Regular Insulin, Human",NA,"C2929405",NA,NA,NA,NA,NA
"00003010150",308182,723,FALSE,"IN","Amoxicillin",NA,"C0002645","J01CA04",3,"g","P",NA
"00003010160",308182,723,FALSE,"IN","Amoxicillin",NA,"C0002645","J01CA04",3,"g","P",NA
"00003010920",94406,723,FALSE,"IN","Amoxicillin",NA,"C0002645","J01CA04",3,"g","P",NA
"00003010955",94406,723,FALSE,"IN","Amoxicillin",NA,"C0002645","J01CA04",3,"g","P",NA
"00003010960",94406,723,FALSE,"IN","Amoxicillin",NA,"C0002645","J01CA04",3,"g","P",NA
"00003011450",197456,2239,FALSE,"IN","Cephradine","cefradine","C0007738","J01DB09",2,"g","O",NA
"00003011550",834061,7984,FALSE,"IN","Penicillin V","phenoxymethylpenicillin","C0030840","J01CE02",2,"g","O",NA
"00003011575",834061,7984,FALSE,"IN","Penicillin V","phenoxymethylpenicillin","C0030840","J01CE02",2,"g","O",NA
"00003011650",834102,7984,FALSE,"IN","Penicillin V","phenoxymethylpenicillin","C0030840","J01CE02",2,"g","O",NA
"00003011675",834102,7984,FALSE,"IN","Penicillin V","phenoxymethylpenicillin","C0030840","J01CE02",2,"g","O",NA
"00003012250",313800,733,FALSE,"IN","Ampicillin",NA,"C0002680","J01CA01",2,"g","O",NA
"00003012250",313800,733,FALSE,"IN","Ampicillin",NA,"C0002680","S01AA19",NA,NA,NA,NA
"00003012260",313800,733,FALSE,"IN","Ampicillin",NA,"C0002680","J01CA01",2,"g","O",NA
"00003012260",313800,733,FALSE,"IN","Ampicillin",NA,"C0002680","S01AA19",NA,NA,NA,NA
"00003013450",308212,733,FALSE,"IN","Ampicillin",NA,"C0002680","J01CA01",2,"g","O",NA
"00003013450",308212,733,FALSE,"IN","Ampicillin",NA,"C0002680","S01AA19",NA,NA,NA,NA
"00003013460",308212,733,FALSE,"IN","Ampicillin",NA,"C0002680","J01CA01",2,"g","O",NA
"00003013460",308212,733,FALSE,"IN","Ampicillin",NA,"C0002680","S01AA19",NA,NA,NA,NA
"00003020750",201337,7226,FALSE,"IN","Nadolol",NA,"C0027302","C07AA12",0.16,"g","O",NA
"00003023250",206961,7226,FALSE,"IN","Nadolol",NA,"C0027302","C07AA12",0.16,"g","O",NA
"00003024815",206548,5084,FALSE,"IN","Halcinonide",NA,"C0018513","D07AD02",NA,NA,NA,NA
"00003024820",206548,5084,FALSE,"IN","Halcinonide",NA,"C0018513","D07AD02",NA,NA,NA,NA
"00003024830",206548,5084,FALSE,"IN","Halcinonide",NA,"C0018513","D07AD02",NA,NA,NA,NA
"00003024915",310669,5084,FALSE,"IN","Halcinonide",NA,"C0018513","D07AD02",NA,NA,NA,NA
"00003024920",310669,5084,FALSE,"IN","Halcinonide",NA,"C0018513","D07AD02",NA,NA,NA,NA
"00003028950",884173,2599,FALSE,"IN","Clonidine",NA,"C0009014","C02AC01",0.45,"mg","O",NA
"00003028950",884173,2599,FALSE,"IN","Clonidine",NA,"C0009014","N02CX02",0.1,"mg","O",NA
"00003028950",884173,2599,FALSE,"IN","Clonidine",NA,"C0009014","S01EA04",NA,NA,NA,NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","A01AC01",NA,NA,NA,NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","C05AA12",NA,NA,NA,NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","D07AB09",NA,NA,NA,NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","D07XB02",NA,NA,NA,NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","H02AB08",7.5,"mg","O",NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","R01AD11",0.22,"mg","N",NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","R03BA06",NA,NA,NA,NA
"00003029305",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","S01BA05",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","A01AC01",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","C05AA12",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","D07AB09",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","D07XB02",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","H02AB08",7.5,"mg","O",NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","R01AD11",0.22,"mg","N",NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","R03BA06",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","S01BA05",NA,NA,NA,NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","A01AC01",NA,NA,NA,NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","C05AA12",NA,NA,NA,NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","D07AB09",NA,NA,NA,NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","D07XB02",NA,NA,NA,NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","H02AB08",7.5,"mg","O",NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","R01AD11",0.22,"mg","N",NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","R03BA06",NA,NA,NA,NA
"00003029328",1085756,10759,FALSE,"IN","Triamcinolone",NA,"C0040864","S01BA05",NA,NA,NA,NA
"00003033850",197436,1998,TRUE,"IN","Captopril",NA,"C0006938","C09AA01",50,"mg","O",NA
"00003033850",197436,5487,TRUE,"IN","Hydrochlorothiazide",NA,"C0020261","C03AA03",25,"mg","O",NA
"00003033850",197436,214357,TRUE,"MIN","Captopril / Hydrochlorothiazide",NA,"C0717554",NA,NA,NA,NA,NA
