"ATC4","ATC4_NAME"
"G04BD","Drugs for urinary frequency and incontinence"
"A12BA","Potassium"
"B05XA","Electrolyte solutions"
"C07AA","Beta blocking agents, non-selective"
"N05AF","Thioxanthene derivatives"
"J05AX","Other antivirals"
"R05DA","Opium alkaloids and derivatives"
"R05CA","Expectorants"
"C01CA","Adrenergic and dopaminergic agents"
"R01AA","Sympathomimetics, plain"
"R01AB","Sympathomimetics, combinations excl. corticosteroids"
"R01BA","Sympathomimetics"
"S01FB","Sympathomimetics excl. antiglaucoma preparations"
"S01GA","Sympathomimetics used as decongestants"
"N02BE","Anilides"
"R06AB","Substituted alkylamines"
"V03AN","Medical gases"
"D08AX","Other antiseptics and disinfectants"
"V03AB","Antidotes"
"V03AZ","Nerve depressants"
"A01AA","Caries prophylactic agents"
"A12CD","Fluoride"
"D08AJ","Quaternary ammonium compounds"
"D09AA","Medicated dressings with antiinfectives"
"R02AA","Antiseptics"
"B05CA","Antiinfectives"
"D08AE","Phenol and derivatives"
"D01AE","Other antifungals for topical use"
"S01BC","Antiinflammatory agents, non-steroids"
"C01BB","Antiarrhythmics, class Ib"
"C05AD","Local anesthetics"
"D04AB","Anesthetics for topical use"
"N01BB","Amides"
"R02AD","Anesthetics, local"
"S01HA","Local anesthetics"
"S02DA","Analgesics and anesthetics"
"D07AC","Corticosteroids, potent (group III)"
"R01AD","Corticosteroids"
"R03BA","Glucocorticoids"
"A07AC","Imidazole derivatives"
"D01AC","Imidazole and triazole derivatives"
"G01AF","Imidazole derivatives"
"J02AB","Imidazole derivatives"
"A06AD","Osmotically acting laxatives"
"A12CC","Magnesium"
"B05CB","Salt solutions"
"A02BA","H2-receptor antagonists"
"A16AX","Various alimentary tract and metabolism products"
"C05BB","Sclerosing agents for local injection"
"N01BX","Other local anesthetics"
"C01EB","Other cardiac preparations"
"R02AX","Other throat preparations"
"A07DA","Antipropulsives"
"D08AG","Iodine products"
"D11AC","Medicated shampoos"
"G01AX","Other antiinfectives and antiseptics"
"S01AX","Other antiinfectives"
"V04CC","Tests for bile duct patency"
"M02AB","Capsaicin and similar agents"
"D06AX","Other antibiotics for topical use"
"J01XX","Other antibacterials"
"R02AB","Antibiotics"
"A01AC","Corticosteroids for local oral treatment"
"A07EA","Corticosteroids acting locally"
"C05AA","Corticosteroids"
"D07AA","Corticosteroids, weak (group I)"
"D07XA","Corticosteroids, weak, other combinations"
"H02AB","Glucocorticoids"
"S01BA","Corticosteroids, plain"
"S01CB","Corticosteroids/antiinfectives/mydriatics in combination"
"S02BA","Corticosteroids"
"A07AA","Antibiotics"
"J01GB","Other aminoglycosides"
"S01AA","Antibiotics"
"J01XB","Polymyxins"
"A06AA","Softeners, emollients"
"N01BA","Esters of aminobenzoic acid"
"A02AA","Magnesium compounds"
"G04BX","Other urologicals"
"L01AC","Ethylene imines"
"P03AX","Other ectoparasiticides, incl. scabicides"
"L01XX","Other antineoplastic agents"
"A07EC","Aminosalicylic acid and similar agents"
"N06BA","Centrally acting sympathomimetics"
"A06AX","Other drugs for constipation"
"S01XA","Other ophthalmologicals"
"A16AB","Enzymes"
"B06AC","Drugs used in hereditary angioedema"
"D10AB","Preparations containing sulfur"
"N02AE","Oripavine derivatives"
"N07BC","Drugs used in opioid dependence"
"A06AH","Peripheral opioid receptor antagonists"
"A06AG","Enemas"
"D10AE","Peroxides"
"A02AB","Aluminium compounds"
"B05CX","Other irrigating solutions"
"N01AX","Other general anesthetics"
"M05BA","Bisphosphonates"
"B02BC","Local hemostatics"
"R03AA","Alpha- and beta-adrenoreceptor agonists"
"D10AF","Antiinfectives for treatment of acne"
"S01AB","Sulfonamides"
"B05BC","Solutions producing osmotic diuresis"
"D02AE","Carbamide products"
"N02AJ","Opioids in combination with non-opioid analgesics"
"D08AC","Biguanides and amidines"
"M04AX","Other antigout preparations"
"L01BA","Folic acid analogues"
"L04AX","Other immunosuppressants"
"G03BA","3-oxoandrosten (4) derivatives"
"A10BG","Thiazolidinediones"
"M01AC","Oxicams"
"A16AA","Amino acids and derivatives"
"L01XB","Methylhydrazines"
"P02CA","Benzimidazole derivatives"
"A11DA","Vitamin B1, plain"
"A11CA","Vitamin A, plain"
"D10AD","Retinoids for topical use in acne"
"R01AX","Other nasal preparations"
"B03BA","Vitamin B12 (cyanocobalamin and analogues)"
"A11GA","Ascorbic acid (vitamin C), plain"
"G01AD","Organic acids"
"A11HA","Other plain vitamin preparations"
"D03AX","Other cicatrizants"
"A11CC","Vitamin D and analogues"
"B02BA","Vitamin K"
"A02AC","Calcium compounds"
"A12AA","Calcium"
"N04AA","Tertiary amines"
"C01BA","Antiarrhythmics, class Ia"
"M01AB","Acetic acid derivatives and related substances"
"N06AA","Non-selective monoamine reuptake inhibitors"
"J05AP","Antivirals for treatment of HCV infections"
"A12CA","Sodium"
"M01CB","Gold preparations"
"A03BA","Belladonna alkaloids, tertiary amines"
"S01FA","Anticholinergics"
"A03AE","Serotonin receptor antagonists"
"S01KA","Viscoelastic substances"
"S01JA","Colouring agents"
"N06DX","Other anti-dementia drugs"
"N05AD","Butyrophenone derivatives"
"R03AB","Non-selective beta-adrenoreceptor agonists"
"R03CB","Non-selective beta-adrenoreceptor agonists"
"D04AX","Other antipruritics"
"C10BA","HMG CoA reductase inhibitors in combination with other lipid modifying agents"
"C04AC","Nicotinic acid and derivatives"
"C10AD","Nicotinic acid and derivatives"
"D07AB","Corticosteroids, moderately potent (group II)"
"D07XB","Corticosteroids, moderately potent, other combinations"
"D10AA","Corticosteroids, combinations for treatment of acne"
"S03BA","Corticosteroids"
"D07XC","Corticosteroids, potent, other combinations"
"L01AA","Nitrogen mustard analogues"
"N03AA","Barbiturates and derivatives"
"R06AD","Phenothiazine derivatives"
"J01FA","Macrolides"
"M03BB","Oxazol, thiazine, and triazine derivatives"
"J05AH","Neuraminidase inhibitors"
"J01CA","Penicillins with extended spectrum"
"G01AG","Triazole derivatives"
"J02AC","Triazole derivatives"
"A10AB","Insulins and analogues for injection, fast-acting"
"A10AC","Insulins and analogues for injection, intermediate-acting"
"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"A10AE","Insulins and analogues for injection, long-acting"
"G03DA","Pregnen (4) derivatives"
"D10BA","Retinoids for treatment of acne"
"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"G04CB","Testosterone-5-alpha reductase inhibitors"
"D01BA","Antifungals for systemic use"
"N05AE","Indole derivatives"
"N02CC","Selective serotonin (5HT1) agonists"
"N06DA","Anticholinesterases"
"A10BX","Other blood glucose lowering drugs, excl. insulins"
"C10AB","Fibrates"
"N05CF","Benzodiazepine related drugs"
"D11AH","Agents for dermatitis, excluding corticosteroids"
"L04AD","Calcineurin inhibitors"
"L01BC","Pyrimidine analogues"
"N04BC","Dopamine agonists"
"N05BC","Carbamates"
"L02BG","Aromatase inhibitors"
"B01AE","Direct thrombin inhibitors"
"L04AA","Selective immunosuppressants"
"H05BX","Other anti-parathyroid agents"
"B01AX","Other antithrombotic agents"
"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"J01CR","Combinations of penicillins, incl. beta-lactamase inhibitors"
"J01CG","Beta-lactamase inhibitors"
"J01CF","Beta-lactamase resistant penicillins"
"D06BB","Antivirals"
"S01AD","Antivirals"
"G04BE","Drugs used in erectile dysfunction"
"N06BC","Xanthine derivatives"
"B02AA","Amino acids"
"J01XA","Glycopeptide antibacterials"
"J01DH","Carbapenems"
"N05CM","Other hypnotics and sedatives"
"M03AC","Other quaternary ammonium compounds"
"R05CB","Mucolytics"
"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors"
"A03FA","Propulsives"
"D06BX","Other chemotherapeutics"
"J01XD","Imidazole derivatives"
"P01AB","Nitroimidazole derivatives"
"B01AF","Direct factor Xa inhibitors"
"N05BA","Benzodiazepine derivatives"
"N03AG","Fatty acid derivatives"
"D01AA","Antibiotics"
"G01AA","Antibiotics"
"B01AB","Heparin group"
"C05BA","Heparins or heparinoids for topical use"
"C01DA","Organic nitrates"
"C05AE","Muscle relaxants"
"J01FF","Lincosamides"
"V04CA","Tests for diabetes"
"V06DC","Carbohydrates"
"N05CD","Benzodiazepine derivatives"
"G04BA","Acidifiers"
"M01AH","Coxibs"
"A02BX","Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)"
"R03AC","Selective beta-2-adrenoreceptor agonists"
"R03CC","Selective beta-2-adrenoreceptor agonists"
"R03BB","Anticholinergics"
"R03DX","Other systemic drugs for obstructive airway diseases"
"C08DB","Benzothiazepine derivatives"
"A02BB","Prostaglandins"
"G02AD","Prostaglandins"
"C10AX","Other lipid modifying agents"
"J04AB","Antibiotics"
"J01DD","Third-generation cephalosporins"
"N03AE","Benzodiazepine derivatives"
"N02AX","Other opioids"
"G03AC","Progestogens"
"G03DB","Pregnadien derivatives"
"L02AB","Progestogens"
"H02AA","Mineralocorticoids"
"M03CA","Dantrolene and derivatives"
"A09AB","Acid preparations"
"H01BB","Oxytocin and analogues"
"A10BF","Alpha glucosidase inhibitors"
"R05DB","Other cough suppressants"
"J01XE","Nitrofuran derivatives"
"S01EC","Carbonic anhydrase inhibitors"
"A08AA","Centrally acting antiobesity products"
"J01DC","Second-generation cephalosporins"
"G03CA","Natural and semisynthetic estrogens, plain"
"M01AX","Other antiinflammatory and antirheumatic agents, non-steroids"
"P01BB","Biguanides"
"P01AX","Other agents against amoebiasis and other protozoal diseases"
"L01DA","Actinomycines"
"N07BA","Drugs used in nicotine dependence"
"R06AC","Substituted ethylene diamines"
"A12CB","Zinc"
"A07BC","Other intestinal adsorbents"
"B03XA","Other antianemic preparations"
"L01XC","Monoclonal antibodies"
"L03AA","Colony stimulating factors"
"B02BX","Other systemic hemostatics"
"M05BX","Other drugs affecting bone structure and mineralization"
"S01ED","Beta blocking agents"
"S01EE","Prostaglandin analogues"
"H01CC","Anti-gonadotropin-releasing hormones"
"G03GA","Gonadotropins"
"H01AC","Somatropin and somatropin agonists"
"H01BA","Vasopressin and analogues"
"L02BX","Other hormone antagonists and related agents"
"D10AX","Other anti-acne preparations for topical use"
"N04BX","Other dopaminergic agents"
"H01CB","Somatostatin and analogues"
"N04BA","Dopa and dopa derivatives"
"N07AB","Choline esters"
"J04BA","Drugs for treatment of lepra"
"P02CF","Avermectines"
"J01CE","Beta-lactamase sensitive penicillins"
"D06BA","Sulfonamides"
"N02AA","Natural opium alkaloids"
"N01AH","Opioid anesthetics"
"N02AB","Phenylpiperidine derivatives"
"L03AX","Other immunostimulants"
"C01BC","Antiarrhythmics, class Ic"
"A10BD","Combinations of oral blood glucose lowering drugs"
"L01XA","Platinum compounds"
"C09DB","Angiotensin II receptor blockers (ARBs) and calcium channel blockers"
"C09DX","Angiotensin II receptor blockers (ARBs), other combinations"
"G03AA","Progestogens and estrogens, fixed combinations"
"G03AB","Progestogens and estrogens, sequential preparations"
"L02AA","Estrogens"
"G03AD","Emergency contraceptives"
"G03DC","Estren derivatives"
"A07EB","Antiallergic agents, excl. corticosteroids"
"R01AC","Antiallergic agents, excl. corticosteroids"
"R03BC","Antiallergic agents, excl. corticosteroids"
"S01GX","Other antiallergics"
"N05AG","Diphenylbutylpiperidine derivatives"
"L01CD","Taxanes"
"G01AC","Quinoline derivatives"
"L04AB","Tumor necrosis factor alpha (TNF-) inhibitors"
"L04AC","Interleukin inhibitors"
"A02AD","Combinations and complexes of aluminium, calcium and magnesium compounds"
"L01XE","Protein kinase inhibitors"
"J07AF","Diphtheria vaccines"
"J07AM","Tetanus vaccines"
"L01AD","Nitrosoureas"
"B02BD","Blood coagulation factors"
"G02CX","Other gynecologicals"
"G03EK","Androgens and female sex hormones in combination with other drugs"
"V04CG","Tests for gastric secretion"
"A09AA","Enzyme preparations"
"A02BD","Combinations for eradication of Helicobacter pylori"
"D06AA","Tetracycline and derivatives"
"A05AA","Bile acids and derivatives"
"P02CC","Tetrahydropyrimidine derivatives"
"C03XA","Vasopressin antagonists"
"L01AB","Alkyl sulfonates"
"C04AX","Other peripheral vasodilators"
"L02BB","Anti-androgens"
"A04AD","Other antiemetics"
"N06AF","Monoamine oxidase inhibitors, non-selective"
"R03AK","Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
"D08AH","Quinoline derivatives"
"M04AC","Preparations with no effect on uric acid metabolism"
"R07AX","Other respiratory system products"
"L03AB","Interferons"
"M01AG","Fenamates"
"G03XC","Selective estrogen receptor modulators"
"V03AX","Other therapeutic products"
"L01CX","Other plant alkaloids and natural products"
"J06BB","Specific immunoglobulins"
"C09BB","ACE inhibitors and calcium channel blockers"
"C10AC","Bile acid sequestrants"
"G02CB","Prolactine inhibitors"
"N03AD","Succinimide derivatives"
"C10BX","HMG CoA reductase inhibitors, other combinations"
"P03AC","Pyrethrines, incl. synthetic compounds"
"L01DB","Anthracyclines and related substances"
"L01AX","Other alkylating agents"
"N04BD","Monoamine oxidase B inhibitors"
"N07BB","Drugs used in alcohol dependence"
"P03AA","Sulfur containing products"
"C04AD","Purine derivatives"
"C03CC","Aryloxyacetic acid derivatives"
"D07AD","Corticosteroids, very potent (group IV)"
"L02BA","Anti-estrogens"
"P03AB","Chlorine containing products"
"N02AF","Morphinan derivatives"
"H05BA","Calcitonin preparations"
"N07XX","Other nervous system drugs"
"J01DE","Fourth-generation cephalosporins"
"L01BB","Purine analogues"
"D05AX","Other antipsoriatics for topical use"
"J02AX","Other antimycotics for systemic use"
"G02AB","Ergot alkaloids"
"M03BC","Ethers, chemically close to antihistamines"
"M09AX","Other drugs for disorders of the musculo-skeletal system"
"A08AB","Peripherally acting antiobesity products"
"N07AX","Other parasympathomimetics"
"S01EB","Parasympathomimetics"
"J01FG","Streptogramins"
"L01CA","Vinca alkaloids and analogues"
"L01DC","Other cytotoxic antibiotics"
"J04AM","Combinations of drugs for treatment of tuberculosis"
"S01LA","Antineovascularisation agents"
"N02AD","Benzomorphan derivatives"
"C02KX","Antihypertensives for pulmonary arterial hypertension"
"J01DF","Monobactams"
"C04AA","2-amino-1-phenylethanol derivatives"
"L02AE","Gonadotropin releasing hormone analogues"
"H01AA","ACTH"
"J01BA","Amphenicols"
"L01CB","Podophyllotoxin derivatives"
"P01CX","Other agents against leishmaniasis and trypanosomiasis"
"N07AA","Anticholinesterases"
"H04AA","Glycogenolytic hormones"
"V03AC","Iron chelating agents"
"C01CE","Phosphodiesterase inhibitors"
"V03AF","Detoxifying agents for antineoplastic treatment"
"G03CC","Estrogens, combinations with other drugs"
"C01EA","Prostaglandins"
"N05CH","Melatonin receptor agonists"
"J05AC","Cyclic amines"
"G03GB","Ovulation stimulants, synthetic"
"A14AA","Androstan derivatives"
"B01AD","Enzymes"
"B02BB","Fibrinogen"
"G03XX","Other sex hormones and modulators of the genital system"
"D05AD","Psoralens for topical use"
"D05BA","Psoralens for systemic use"
"A03BB","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
"A10AF","Insulins and analogues for inhalation"
"N01BC","Esters of benzoic acid"
"M04AB","Preparations increasing uric acid excretion"
"P01BC","Methanolquinolines"
"R03CA","Alpha- and beta-adrenoreceptor agonists"
"L03AC","Interleukins"
"C01DX","Other vasodilators used in cardiac diseases"
"D08AL","Silver compounds"
"N02CA","Ergot alkaloids"
"A07BA","Charcoal preparations"
"N01AB","Halogenated hydrocarbons"
"M09AB","Enzymes"
"D05BB","Retinoids for treatment of psoriasis"
"H03BA","Thiouracils"
"M02AX","Other topical products for joint and muscular pain"
"C02DD","Nitroferricyanide derivatives"
"C04AB","Imidazoline derivatives"
"G03XA","Antigonadotropins and similar agents"
"C04AE","Ergot alkaloids"
"C02AB","Methyldopa"
"C01CX","Other cardiac stimulants"
"H05AA","Parathyroid hormones and analogues"
"P01BD","Diaminopyrimidines"
"C02BB","Secondary and tertiary amines"
"V10XX","Various therapeutic radiopharmaceuticals"
"P01AA","Hydroxyquinoline derivatives"
"M03AB","Choline derivatives"
"N05AC","Phenothiazines with piperidine structure"
"A07XA","Other antidiarrheals"
"L01XD","Sensitizers used in photodynamic/radiation therapy"
"S01EX","Other antiglaucoma preparations"
"C09XA","Renin-inhibitors"
"V09IX","Other diagnostic radiopharmaceuticals for tumour detection"
"V10XA","Iodine (131I) compounds"
"J07BX","Other viral vaccines"
"J05AD","Phosphonic acid derivatives"
"V04CD","Tests for pituitary function"
"G03XB","Progesterone receptor modulators"
"P02BA","Quinoline derivatives and related substances"
"P01BE","Artemisinin and derivatives, plain"
"P01BF","Artemisinin and derivatives, combinations"
"N05CA","Barbiturates, plain"
